B.E.(eV)           Raw Intensity       Peak Sum            Background          Peak 1              Peak 2              Peak 3              difference
 307.97             2636.03             3347.449            3337.635            3338.714            3345.434            3338.572           -711.4194 
 307.92             2678.38             3348.51             3338.646            3339.729            3346.484            3339.589           -670.1306 
 307.87             2543.67             3349.636            3339.719            3340.808            3347.598            3340.669           -805.9661 
 307.82             2661.73             3350.521            3340.553            3341.646            3348.472            3341.509           -688.791 
 307.77             2633.53             3351.597            3341.577            3342.675            3349.537            3342.54            -718.0674 
 307.72             2648                3352.617            3342.544            3343.647            3350.545            3343.513           -704.6172 
 307.67             2503.73             3353.652            3343.526            3344.634            3351.568            3344.502           -849.9221 
 307.62             2483.54             3354.429            3344.249            3345.362            3352.333            3345.232           -870.8889 
 307.57             2623.48             3355.156            3344.923            3346.04             3353.049            3345.913           -731.6763 
 307.52             2746.47             3356.11             3345.823            3346.945            3353.991            3346.819           -609.6404 
 307.47             2668.9              3357.267            3346.924            3348.052            3355.135            3347.928           -688.3667 
 307.42             2588.62             3358.283            3347.885            3349.018            3356.14             3348.896           -769.6631 
 307.37             2485.87             3359.152            3348.699            3349.836            3356.997            3349.717           -873.2817 
 307.32             2534.35             3359.832            3349.322            3350.465            3357.664            3350.347           -825.4814 
 307.27             2483.52             3360.58             3350.014            3351.161            3358.399            3351.046           -877.0596 
 307.22             2530.82             3361.226            3350.603            3351.756            3359.033            3351.642           -830.4055 
 307.17             2471.28             3361.937            3351.256            3352.415            3359.731            3352.304           -890.6567 
 307.12             2322.48             3362.531            3351.792            3352.956            3360.313            3352.847           -1040.051 
 307.07             2568.04             3362.851            3352.054            3353.223            3360.62             3353.117           -794.811 
 307.02             2403.19             3363.573            3352.717            3353.891            3361.329            3353.787           -960.3831 
 306.97             2494.78             3363.997            3353.082            3354.261            3361.739            3354.159           -869.2166 
 306.92             2683.12             3364.559            3353.584            3354.769            3362.288            3354.67            -681.4387 
 306.87             2458.53             3365.43             3354.395            3355.585            3363.146            3355.489           -906.9004 
 306.82             2372.07             3365.904            3354.807            3356.003            3363.606            3355.909           -993.8337 
 306.77             2378.16             3366.209            3355.052            3356.253            3363.898            3356.162           -988.0496 
 306.72             2407.42             3366.505            3355.285            3356.492            3364.18             3356.403           -959.0847 
 306.67             2432.01             3366.829            3355.547            3356.759            3364.49             3356.673           -934.8188 
 306.62             2425.77             3367.175            3355.83             3357.048            3364.822            3356.965           -941.4048 
 306.57             2522.58             3367.49             3356.082            3357.305            3365.123            3357.225           -844.9099 
 306.52             2432.06             3367.954            3356.481            3357.71             3365.572            3357.633           -935.8936 
 306.47             2441.53             3368.243            3356.706            3357.941            3365.847            3357.866           -926.7131 
 306.42             2689.6              3368.529            3356.927            3358.168            3366.119            3358.096           -678.9292 
 306.37             2530.84             3369.224            3357.556            3358.803            3366.799            3358.734           -838.3843 
 306.32             2478.01             3369.634            3357.899            3359.152            3367.194            3359.087           -891.624 
 306.27             2397.26             3369.935            3358.134            3359.392            3367.48             3359.33            -972.6753 
 306.22             2439.47             3370.078            3358.209            3359.474            3367.608            3359.415           -930.6082 
 306.17             2458.72             3370.271            3358.334            3359.605            3367.786            3359.55            -911.5515 
 306.12             2417.3              3370.478            3358.472            3359.749            3367.977            3359.697           -953.1777 
 306.07             2273.19             3370.592            3358.517            3359.8              3368.075            3359.751           -1097.402 
 306.02             2357.09             3370.436            3358.291            3359.58             3367.904            3359.535           -1013.346 
 305.97             2463.03             3370.397            3358.181            3359.476            3367.848            3359.435           -907.3667 
 305.92             2524.76             3370.516            3358.23             3359.531            3367.952            3359.493           -845.7563 
 305.87             2424.8              3370.722            3358.364            3359.671            3368.142            3359.637           -945.9221 
 305.82             2409.08             3370.737            3358.306            3359.62             3368.139            3359.589           -961.6565 
 305.77             2418.33             3370.701            3358.198            3359.518            3368.088            3359.491           -952.3713 
 305.72             2382.64             3370.659            3358.082            3359.408            3368.028            3359.385           -988.0188 
 305.67             2618.41             3370.532            3357.88             3359.213            3367.885            3359.195           -752.1221 
 305.62             2408.04             3370.787            3358.061            3359.4              3368.123            3359.386           -962.7473 
 305.57             2377.7              3370.664            3357.861            3359.207            3367.982            3359.197           -992.9636 
 305.52             2284.45             3370.464            3357.585            3358.938            3367.765            3358.932           -1086.014 
 305.47             2212.38             3370.078            3357.122            3358.481            3367.361            3358.479           -1157.698 
 305.42             2343.56             3369.538            3356.504            3357.87             3366.803            3357.873           -1025.978 
 305.37             2480.28             3369.193            3356.081            3357.454            3366.441            3357.461           -888.9131 
 305.32             2487.44             3369.058            3355.866            3357.246            3366.287            3357.258           -881.6179 
 305.27             2324.87             3368.913            3355.641            3357.027            3366.123            3357.044           -1044.042 
 305.22             2374.68             3368.464            3355.112            3356.505            3365.657            3356.527           -993.7844 
 305.17             2346                3368.074            3354.64             3356.04             3365.247            3356.067           -1022.074 
 305.12             2193.1              3367.607            3354.092            3355.499            3364.762            3355.53            -1174.507 
 305.07             2227.5              3366.849            3353.25             3354.664            3363.984            3354.701           -1139.349 
 305.02             2158.32             3366.116            3352.433            3353.854            3363.232            3353.896           -1207.796 
 304.97             2190.83             3365.23             3351.463            3352.892            3362.327            3352.939           -1174.4 
 304.92             2226.62             3364.366            3350.514            3351.949            3361.443            3352.002           -1137.746 
 304.87             2233.85             3363.529            3349.59             3351.033            3360.585            3351.091           -1129.678 
 304.82             2179.93             3362.67             3348.645            3350.095            3359.707            3350.159           -1182.74 
 304.77             2149.06             3361.686            3347.572            3349.03             3358.702            3349.099           -1212.626 
 304.72             2234.71             3360.612            3346.41             3347.875            3357.607            3347.95            -1125.902 
 304.67             2298.16             3359.649            3345.358            3346.83             3356.624            3346.911           -1061.49 
 304.62             2175.42             3358.762            3344.38             3345.86             3355.716            3345.948           -1183.343 
 304.57             2297.85             3357.631            3343.158            3344.645            3354.563            3344.739           -1059.781 
